"officer_id","year","month","num_stops","percent_missing_race","yrmth"
993,"2012","05",60,0,2012-05-01
993,"2012","06",27,0,2012-06-01
993,"2012","07",46,0,2012-07-01
993,"2012","08",59,0,2012-08-01
993,"2012","09",63,0,2012-09-01
993,"2012","10",34,0,2012-10-01
993,"2012","11",19,0,2012-11-01
993,"2012","12",2,0,2012-12-01
997,"2011","01",78,0,2011-01-01
997,"2011","02",63,0,2011-02-01
997,"2011","03",52,0,2011-03-01
997,"2011","04",80,0,2011-04-01
997,"2011","05",89,0,2011-05-01
997,"2011","06",71,0,2011-06-01
997,"2011","07",118,0,2011-07-01
997,"2011","08",72,0,2011-08-01
997,"2011","09",110,0,2011-09-01
997,"2011","10",111,0,2011-10-01
997,"2011","11",115,0,2011-11-01
997,"2011","12",60,0,2011-12-01
997,"2012","01",81,0,2012-01-01
997,"2012","02",63,0,2012-02-01
998,"2011","08",1,0,2011-08-01
998,"2011","09",1,0,2011-09-01
998,"2011","10",1,0,2011-10-01
1514,"2012","08",3,0,2012-08-01
1514,"2012","09",2,0,2012-09-01
1514,"2012","11",2,0,2012-11-01
1514,"2013","06",3,0,2013-06-01
1514,"2013","08",2,0,2013-08-01
1514,"2013","09",1,0,2013-09-01
1514,"2013","12",1,0,2013-12-01
1514,"2014","08",1,0,2014-08-01
1539,"2011","01",1,0,2011-01-01
1539,"2011","03",3,0,2011-03-01
1539,"2011","04",1,0,2011-04-01
1539,"2011","06",2,0,2011-06-01
1539,"2011","07",3,0,2011-07-01
1539,"2011","08",3,0,2011-08-01
1539,"2011","09",3,0,2011-09-01
1539,"2011","10",2,0,2011-10-01
1539,"2011","12",1,0,2011-12-01
1539,"2012","02",4,0,2012-02-01
1539,"2012","03",1,0,2012-03-01
1539,"2012","04",2,0,2012-04-01
1539,"2012","05",4,0,2012-05-01
1539,"2012","06",4,0,2012-06-01
1539,"2012","08",3,0,2012-08-01
1539,"2012","09",3,0,2012-09-01
1539,"2012","10",3,0,2012-10-01
1539,"2013","01",5,0,2013-01-01
1539,"2013","02",3,0,2013-02-01
1539,"2013","03",4,0,2013-03-01
1539,"2013","04",5,0,2013-04-01
1539,"2013","05",6,0,2013-05-01
1539,"2013","06",9,0,2013-06-01
1539,"2013","07",2,0,2013-07-01
1539,"2013","08",1,0,2013-08-01
1539,"2013","09",2,0,2013-09-01
1539,"2013","10",2,0,2013-10-01
1539,"2013","12",1,0,2013-12-01
1539,"2014","02",6,0,2014-02-01
1539,"2014","03",2,0,2014-03-01
1539,"2014","04",3,0,2014-04-01
1545,"2011","03",1,0,2011-03-01
1545,"2011","04",1,0,2011-04-01
1545,"2011","05",2,0,2011-05-01
1555,"2011","01",1,0,2011-01-01
1555,"2011","02",1,0,2011-02-01
1555,"2011","04",1,0,2011-04-01
1555,"2011","05",1,0,2011-05-01
1555,"2011","06",1,0,2011-06-01
1555,"2011","07",1,0,2011-07-01
1605,"2011","01",33,0,2011-01-01
1605,"2011","02",12,0,2011-02-01
1605,"2011","03",25,0,2011-03-01
1605,"2011","04",26,0,2011-04-01
1605,"2011","05",40,0,2011-05-01
1605,"2011","06",25,0,2011-06-01
1605,"2011","07",5,0,2011-07-01
1605,"2011","08",15,6.66666666666667,2011-08-01
1605,"2011","09",36,0,2011-09-01
1605,"2011","10",14,0,2011-10-01
1605,"2011","11",32,0,2011-11-01
1605,"2011","12",42,0,2011-12-01
1605,"2012","01",25,0,2012-01-01
1605,"2012","02",38,0,2012-02-01
1605,"2012","03",31,3.2258064516129,2012-03-01
1605,"2012","04",47,0,2012-04-01
1605,"2012","05",37,2.7027027027027,2012-05-01
1605,"2012","06",1,0,2012-06-01
1608,"2011","01",4,0,2011-01-01
1608,"2011","02",1,0,2011-02-01
1608,"2011","03",6,0,2011-03-01
1608,"2011","04",5,0,2011-04-01
1608,"2011","05",9,0,2011-05-01
1608,"2011","06",7,0,2011-06-01
1608,"2011","07",5,0,2011-07-01
1618,"2011","09",1,0,2011-09-01
1618,"2012","06",1,0,2012-06-01
1618,"2014","06",2,0,2014-06-01
1618,"2014","07",1,0,2014-07-01
